text,label,predicted_labels
"""이건 종교탄압이 아닙니다 신천지는 종교가 아니고 그저 정신병자 집단이니까요""",['Disabled'],"['Disabled', 'Religion']"
"조기 성애화, 동성애 조장 교육이 이 어린 아이들 때부터 시작이 되네요. 서울시 학생인권조례, 인천 학생 구성원 인권 조례에도 3세 부터 이런 성인지 교육을 시킨다고 해서 우려하고 있는데, 정말 걱정입니다. 부모인 우리들이 정신 바짝 차리고, 반대의견 내야 겠습니다.",['Gender'],[]
ㅇㅏ니 도대체 이런건 왜 자꾸 기사로 뜨는거야. 여긴 이슬람국가가 아니에요 애굶는거 같으면 부모는ㅈ뭐하고 있나요,"['Racism', 'Religion']",['Religion']
동성애는 부적절한거 맞아요. 제발 정상적으로 삽시다.,['Gender'],['Gender']
그래서 어제 바로 싸버렸잖아 ㅋㅋ,['SEXUAL'],[]
동성애자는 아니지만 동성애 인정한다. 그리고 성바꾸는 사람 이것도 본인 자유니깐 인정하고 이해하려고 노력한다. 근데 이건 뭐냐 그냥 억지 부리고 떼쓰는거로밖에 안보인다.  수술하고 여군 시험 봤어야지 ㅂㅅ같은 새키,['Gender'],['Gender']
내 남친 소추인데 약 먹고 강직도 지려버림,['SEXUAL'],[]
양키충들도 루저페이 강요하고 유럽쪽에는 결혼할때 여자 돈 더쓰게 하는 새끼들 천지임 이게 다 경제력과 와꾸의 빻음에서 오는거다 고로 연봉 2억 이하 남자는 국적불문하고 걸러야 함,"['Racism', 'Appearance']","['Appearance', 'Racism']"
전라도 동성애자...끄덕끄덕,"['Gender', 'Origin']",['Origin']
"확실히 사회분위기가 남자가 어린 여자 만나면 좋은 소리 못 듣고, 여자가 어린 남자 만나면 연하남 만났다고 존나 축하해주는 분위기인터넷에서 죽치는 상폐년들이 이런 분위기 만드는 듯",['Age'],['Age']
남재준후보님 유세할 때 대변인했던 이애란박사님 같은 분이 지극히 정상적인 탈북민이지!,['Racism'],['Racism']
그때 못알아오면 죽는다,['VIOLENCE'],[]
내 주변에 아픈사람있으면 너무 슬플것 같아,['IMMORAL_NONE'],[]
자위년이 불안장애걸려서 활동중지됫어야했는데 애꿎은 미나가 ㅠㅠㅠ,['Disabled'],[]
네 오빠 가 원하신다면 최초로 개방할께요,['SEXUAL'],[]
나같으면 진작 자살했어,['CENSURE'],[]
맘에 안 들면 한 대 쳐라,['VIOLENCE'],[]
근데 우리나라 사람들한테 총기 허용하면 조현병 자식들이 바로 난사하고 다닐 것 같아서 무섭긴 해,['Disabled'],['Age']
대다수의 이슬람은 착하다고 하지만 그 착하다는 것들도 남에나라가서 이슬람대로 안해준다고 발광하는 것들임,"['Racism', 'Religion']","['Racism', 'Religion']"
응 어떻게 한 번만 안 되나,['SEXUAL'],[]
전체 교회를 욕먹이지마라. 예수로 위장한 사악한 인간들아. 성경에 손얹고 고개들어 십자가를 바라봐라 니들이 하는 짓이 옳은가?,['Religion'],['Religion']
우유나오는데 엄청 오래걸릴 것 같아,['SEXUAL'],[]
개독 까는떡밥 재밋다 계속해주라,['Religion'],['Religion']
개슬람 개독 사막잡신 동네 종교는 상종 못한다.,['Religion'],['Religion']
공공장소에서 큰 소리로 통화하는 병신 vs 정중하게 요청하는게 아닌 명령조로 지랄하는 틀딱어휴 ㅅㅂ 저 두 마리의 센징을 보니 한숨만 나오노,"['Racism', 'Age']",['Age']
난 국뽕이 인간적으로 너무 싫다 두유노 비티에스 ㅇㅈㄹ 진짜 전부 가스실에 넣고 몰살했으면 함,['profanity'],"['Appearance', 'Racism']"
와꾸........한남콘......,['Appearance'],"['Appearance', 'Racism']"
하다하다 이제는 넘의 나라 개인의 언론탄압까지 하고 지랄하노!,['profanity'],['Appearance']
못죽이냐 저새끼들 진짜?,['profanity'],['Appearance']
라떼파파 예전보다는 많아졌죠. 보기좋은 거 같아,['IMMORAL_NONE'],[]
"""개독교 사이비로 지정하고 폐단하라 나라를좀먹는 정신분열집단이다""",['Disabled'],['Religion']
특정시간대에만 틀딱드립이 무더기로 올라오고 댓글 민주화 많으면 지웠다 다시쓰고 진짜좆족 짱깨 우마오 드글드글...,"['Racism', 'Age']","['Age', 'Racism']"
흠....여기 틀니들 쓴댓글도 다른곳에서 보면 존나게웃길걸? ㅋㅋ,['Age'],['Age']
저 목사 세기 뇌에 왜구 기생충이 가득 들었구만...북상도 토착왜구와 게독의 환상의 콜라보레이션,"['Racism', 'Religion']","['Origin', 'Racism', 'Religion']"
"조선족 자체가 가짜 아닌가? 만주족들이 지들 만주족인거 숨기려고 언어도 비슷하다, 생긴것도 비슷해서 한국인 코스하는거",['Racism'],['Racism']
못생긴남들이 페미혐오한다=이젠 42언스가 되뿟노.,['Appearance'],['Appearance']
사스가 안산드레아스ㅋㅋㅋㅋㅋㅋㅋ,['Origin'],[]
전라도 분탕 개 쌕끼다 정말..,['Origin'],['Origin']
"sns에 말하는거 보면, #@인간및인간집단.인물.인물_무정보.남성#은 약간 정신 지체에 조증이 있는 것 같더라.",['Disabled'],['Disabled']
배역이 잘 어울리네,['IMMORAL_NONE'],[]
이놈은 나이 어린놈이 말하는 싸가지하고...,['Age'],['Age']
일베 계몽됐노 전에는 조선족 까는글쓰면 밴먹던데조선족짱깨 이시발새끼들은 나가 뒤져야함,['Racism'],['Racism']
아니 뭐 사진구도에 화장이면 딴 사람 되는건 순식간인데 이딴걸로 성형이니 어쩌니 ㅈㄹ들이냐 ㅂㅅ들 ㅋㄱㅋ,['Appearance'],['Appearance']
입사 동기이지만 A씨는 고졸이라는 이유로 진급 대상자가 아니래,['IMMORAL_NONE'],['Education']
진짜...나라꼬라지 하고는...휴... 일베나 오유보다 더 뭣같은 꼴값페미들..,['Appearance'],['Appearance']
해고뿐이냐 추방해라.. 씨발새끼들.. 지들 나라가서 실컷 기도 하라고 해라.,"['Racism', 'Religion']",[]
구혜선 안재현을 너무 사랑하네...꼭지도 못생긴게,['Appearance'],['Appearance']
상폐 선생년도 고교생 불러서 술마시는 마당에별로 놀랍지도 않다,['Age'],"['Age', 'Education']"
사장님 대머리 나이스 샷~ㅎ,['Disabled'],[]
요즘 급식들 맘마통이 급식이 아니네,['SEXUAL'],['Age']
모든 이슬람은 테러범이 아니다 하지만 테러범들은 이슬람이다,"['Racism', 'Religion']",['Religion']
저능아 막무가내 박사모 틀딱들과 돈독오른 먹사새끼들의 노예인 신도들이 끊임없이 보수에 들러붙어 괴롭히는구나아주 상진드기가 붙어버렸어,"['Age', 'Religion']",['Age']
이늠 물지마라 우파끝난다 페미코인탄 안정권라인 전라도다,['Origin'],['Origin']
근데 그것도 어느정도 외모가 되야지 똥송 + 키 작음 + 파오후 + 뿔테 + 머머리 라면 답 없다,['Racism'],['Appearance']
한국어 너무 잘하세요!,['IMMORAL_NONE'],[]
동성연애는 엄밀히따지면 공연음란죄임..존재자체가 그리고 그 존재를 인식시켜주는거자체가 죄임.,['Gender'],[]
조선족들이 전라도 사칭해서 더 국민분열시키는거도 있음물론 전라도새끼들이나 조선족바퀴벌레들이나 개찐또찐,"['Racism', 'Origin']","['Origin', 'Racism']"
아 비건이라고? 대단한 환경보호가 납셨네ㅋㅋㅋ,['IMMORAL_NONE'],[]
좆같이생겼네,['profanity'],[]
"""어이 .ㅂㅅ ㅅ들 한국이 망하게 생겼어 누굴 처다봐""",['Disabled'],"['Disabled', 'Gender', 'Racism']"
오지마 시발 개슬람 종자년놈들아,"['Racism', 'Religion']",['Religion']
개독이랑 똥꼬충이랑 자폭해라,"['Gender', 'Religion']",['Gender']
ㅋㅋㅋㅋㅋ 이래놓고 자기들이 피해자랜다 어휴 진짜 다 쓸어버리고 싶네 개독들 ㅉㅉㅉ,['Religion'],['Religion']
진짜 큣대에 내장 다 파열됐을듯,['VIOLENCE'],[]
내 얘기에 함부로 토달지마 손가락 잘라버릴테니!,['VIOLENCE'],['VIOLENCE']
바퀴벌레같은 민족 =짱깨,['Racism'],"['Origin', 'Racism']"
살면서 기독교충이랑 앱등이만 거르면 사교관계 8할은 성공한거랬음,['Religion'],"['Gender', 'Religion']"
지금 나이 30대 중반이 다 되가는데도 나이 쳐먹고 취직도 못하고 카푸어짓 코인충 게임페인 짓하고 알바하고 취업준비 공시준비 하는 인생 패배자 낙오자 잉여인간들이 얼마나 많은지 아냐?,['CENSURE'],['Age']
꼰대 그거 ㅅㅂ 타방에서 노는거 같던데,['Age'],['Age']
내말이 애자식가 지는 알지도 못하는 세계 얘기를 함부로 나불이고 헛짓거리이야,['Disabled'],[]
틀딱들 혈압올릴라고 들어오는거임 빨리뒤지라고,['Age'],['Age']
흑성님들 딱밤 한대로 재기시키기 가능할듯 워낙에 한남충들이 피지컬 개 빻아서ㅋㅋ,"['Racism', 'Appearance']","['Appearance', 'Racism']"
이러면서 호남차별한다고 뭐라그러지. 지들이 이러기 때문인데. 나랏돈 더 빨아먹을수록 피해당지역의 대호남감정이 더 나빠지는걸모르나.,['Origin'],[]
신천지 교회 이제는 이슬람까지 우리나라 종교에게보다 더 엄격하게 관리해야한다고 생각합니다 미우나 고우나 내국인이야 뭐 야단칠거 치고 치료하고 조심시킨다쳐도 외국인은 민폐끼치면 출국시키는것이 당연하다고 봅니다,"['Racism', 'Religion']","['Racism', 'Religion']"
ㅋㅋㅋㅋㅋㅋ오랩충한테 성경건네주면서 하나님 믿고 천국가자고 해봐라 익이 오줌질질싸고 그날 바로 재기만남가능 할듯,['Religion'],['Gender']
ㅈ 럴 말고 세금이나 떼자..,['profanity'],['Appearance']
네다쌍ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,['Origin'],[]
나 영화관 알바 3개월 하면서 여자 3명 따먹음,['SEXUAL'],['Appearance']
뭔 좆같은 논리노,['profanity'],[]
ㅅㅂ 성소수자들이 부럽다 재네들은 그래도 ㅅㅅ는 하잖아,['Gender'],[]
40대 여자들이 나이값못하고 현빈 멋있다고 하악하악 거리는거 개극혐ㅋㅋㅋㅋ당신들의 튀어나온 뱃살과 흉측한 얼굴을보고 반성하길바람^^;;;,['Appearance'],['Appearance']
제발 행동으로옮겨서 틀딱새끼들 면상에 빵꾸낫으면좋겟다 그,['Age'],['Age']
중국넘들이 테러 같은거에 눈이나 깜짝하냐. . 천안문 한번. 폭파 시켜봐라,['Racism'],['Racism']
똥꼬충들 후장 풍혈이라 지갑넣고 빗넣고 이것저것 넣고 다니는거 아니었노 똥꼬충들 주는 물건 쓰지마라 똥묻음 윾엒,['Gender'],['Gender']
역시 노예는 주제 파악 하도록 맞아야 정신을 차린다니까,['VIOLENCE'],['Age']
전라도가 진짜 나라를 망치고있네.. 홍어들..반성해라.. 진짜,['Origin'],['Origin']
근데 뭘해도 일베할배들보단 정상,['Age'],[]
틀딱새끼들 ㅋㅋㅋㅋㅋㅋ 존나 병신같네,['Age'],['Age']
내 말이 말 같지가 않지 아주?,['VIOLENCE'],[]
살인마놈들 뺀치로 손톱 빼기 추천,['VIOLENCE'],[]
다문화건 뭐건 나라지켜주겠다는데 까진말자물론 불법외노자 조선족 개슬람은 아웃,"['Racism', 'Religion']",['Racism']
불교 나이트가 지렸는데시발 ㅋㅋㅋㅋ,['profanity'],[]
"뭐야 예림이, 쌍도야???",['Origin'],['Origin']
무슬림 할로윈 분장은 복면쓰고 폭탄 몸에 두르기만 하면 완벽한데,"['Racism', 'Religion']","['Gender', 'Religion']"
우리회사 여직원 뽑을때 얼굴 제일 먼저 보긴하는듯.,['IMMORAL_NONE'],['IMMORAL_NONE']
둘다 문제다똥꼬충 ++ 무슬림,"['Gender', 'Religion']",['Gender']
강아지들은 뒤지게 패야 말을 듣더라,['VIOLENCE'],[]
좆같은 개독교의 유일한 장점이 똥꼬충 박멸인 것이지,"['Gender', 'Religion']",['Gender']
사기꾼이고 뒷광고고 뭐고 ㄹㅇ 저능아들인가?,['Disabled'],"['Appearance', 'Education']"
옳은 소리 이번에 유럽 백인 놈들 얼마나 미개한지 알았다,['Racism'],['Racism']
서울 특징 계집애같은거 좋아해서 게이짓까지함,"['Gender', 'Origin']",['Origin']
옛날에 남자어린이랑 중년 여자랑 하는 사진 돌아다녔는데 저거구나... ㅅㅂ,['profanity'],['Age']
이러니 개독이래도 할말이 없지,['Religion'],['Religion']
헐 끔찍하다 남의나라에서도 종교질ㅡ 아싫다 무교가 답이다,"['Racism', 'Religion']",['Religion']
맘충련들 극혐,['Appearance'],['Appearance']
아직 발의상태라 적극적인 반대운동 벌여야할듯국민들 반감 큼 통과되기 힘들다지금 계류중인 난민법개정안이나 이주아동법도 폐기될 확률 높다드만 통과되기가 힘듦,['Racism'],['Appearance']
떡볶이가 맛이 없을 수가 있나. 혀 마비된 장애 아니고서야 맛 없기가 힘든데,['Disabled'],[]
못생겼으니 옷이라도 뻘겋게 입고 뻘건살 내놔야지 근데 극혐,['Appearance'],['Appearance']
채식하는 사람들이 오히려 분노지수가 더 높다고 하더라,['IMMORAL_NONE'],['Age']
아. 이 새끼 정신 덜차렸네. 몇 대 더 맞아야 정신 차리지?,['VIOLENCE'],[]
개극혐 시발ㅋㅋㅋ쳐녀막 땃어,['Appearance'],[]
대한민국 동성애 합법화 결사반대 우리 아이들 미래가달렸다,['Gender'],['Gender']
기독교를 없애야 합니다,['Religion'],['Religion']
조심해. 아주 그냥 니가 먹고 마시는 것마다 농약 집어넣어버릴 테니까,['VIOLENCE'],[]
미친냔 늘거두 추하게 늙어야 할꼬 아냐 ㅎ; 즈그애비 김밥천국 국그릇 가지고 컬링하다가 머가리 쪽박날 쀼젤인 주제에 ^^ ;,['profanity'],['Age']
나도 피씨판 샀는데 급식충들이랑 롤충들이 너무 많이 넘어와서 그런지 챗창 존나 스트레스 받아서 그냥 콘솔로 하고있음 ㅋㅋㅋ 콘솔판 존나 클린,['Age'],['Age']
"복음을 전파하랬지, 코로나를 전파하랬냐..",['Religion'],[]
역시 찐따는 화낼때도 좀 찐따 같음,['profanity'],[]
성정신병자...애미애비도?????건드리는것아니냐?,['Gender'],['Gender']
퀴어들 보다 홍어가 더 그켬이긴 하지 ㅇㅇ,"['Gender', 'Origin']",['Origin']
진한 화장 화려한 외모 거부합니다. 탈 코르셋 운동 동참하지 않는 모든 여자 연예인들 불매합니다.,['Appearance'],['Appearance']
혹시 훔쳐온 팔다리라 뇌하고 따로 노는 거 아냐?,['CENSURE'],[]
"""응 그래서 소라넷이 그렇게 흥했냐~?역시 한남들 정신병~""",['Disabled'],['Disabled']
아~ 포항에는 지하철 안 생기나? 서울처럼 지하철 있으면 편할텐데. 오늘도 버스타고 돌아다니려니 너무 힘드네 진짜.,['IMMORAL_NONE'],['Origin']
백퍼야. 잘 나가기 시작하면 피디한테 전화해서 수작부릴 듯,['CENSURE'],[]
역사적으로 중국이 분열되면 우리나라가 상승세였고 중국이 통일되면 위험에 처했다. ㄹㅇㅍㅌ,['Racism'],['Appearance']
호남향우회 조선족 아랍버전,"['Racism', 'Origin', 'Religion']",['Racism']
너 왜 말을 그따구로 하냐?,['VIOLENCE'],[]
역시 동성애는 커플 비쥬얼에 따라 욕먹는게 정해졌다니까,['Gender'],['Gender']
점마 저쪽 방면으로 유명한 탈북자임완전 전라도스타일,"['Racism', 'Origin']","['Origin', 'Racism']"
장난 아니다…힘 좋을 것 같이 생기지 않았어?,['SEXUAL'],[]
개극혐이네 모아서 총쏴죽이고싶다,['profanity'],[]
초딩도 가능?ㅋㅋㅋ,['SEXUAL'],[]
섭섭하면 섭섭한데로 법과 절차에 의해 처리할것이다,['CENSURE'],[]
솔직히 개독 + 개슬람 혐오하므로 짱깨 응원한다착개죽개,"['Racism', 'Religion']","['Racism', 'Religion']"
닭뽕틀딱만하겟니,['Age'],['Origin']
노인첸 철갑입던데 ㅅㅂ,['Age'],['Age']
데뷔하기 전부터 차근차근 성형 떡칠하면 자연미인이냐?,['CENSURE'],['Appearance']
와꾸만봐도 좆슬람 좆들은 그나마 아들감수준이라도됌 한남좆 와꾸는 좆팔,"['Racism', 'Religion']",['Appearance']
수현이 못생겼네,['Appearance'],['Appearance']
쓰까페미시절 줏어먹던 똥송남이 나 페미인거 알고 메갈 극혐 워마드 극혐 이지랄해서 궁금해서 들어와봄ㅋㅋㅋㅋㅋ 마! 현호 보고 있나?,['Racism'],"['Disabled', 'Gender']"
개슬람새끼들은 전라도같은 성향을 가지고있어 남의땅 남의나라에와서 그곳을 황폐화시킨다,"['Origin', 'Religion']","['Origin', 'Religion']"
호주 + 무슬림이면 말 다했지,"['Racism', 'Religion']","['Racism', 'Religion']"
마자마자! 서현 사는뎅 우리들한테 어렸을때부터 야탑 너머 모란쪽 가지두 말라구 했어! 구성남 쪽 언덕에 조선족들 많다던뎅 정작 거기 전라도 출신 한국 아조씨들두 앰생들에 독기 올라서 좆족들 쪽도 못쓴댕 ㅋㄷㅋㄷ,"['Racism', 'Origin']","['Origin', 'Racism']"
"어, 저 심판 저것도 못볼 정도면 눈알 동태 눈알 아니야?",['CENSURE'],['Education']
프랑스 무슬림들도 시리아 난민들처럼 다 조선반도 들여왔으면 좋겠다이기,"['Racism', 'Religion']",['Racism']
고졸이건 대졸이건 초졸이건 중졸이건 각자가 하고 싶은 일 하면서 행복하게 살 수 있는 세상이 왔으면 좋겠네 에혀,['IMMORAL_NONE'],['Education']
논란이잇엇던 슈퍼맨이 화제 인기프로로만들엇든게 쌍둥이때문인데 프로가 인기가잇으니깐 어느 대한민국만세인지 매국 금수저 못생긴삼둥이가 처나와서 밥숟가락만 언져먹고나갓지 ㅋㅋ,['Appearance'],['Appearance']
개종했으면 그나마 괜찮음.. 난민으로 들어와서 개슬람 부르짖는 종자들은 다 추방시켜야함,"['Racism', 'Religion']","['Racism', 'Religion']"
"우리 게이 좋겠다, 승은을 입어서. ㅋㅋㅋ",['SEXUAL'],['Gender']
안절수가 쑈한다고 봉사자를 폄훼하는 사람이 사는 대구는 코로나 걸려도 쌈,['Origin'],['Origin']
ㅋㅋㅋㅋㅋㅋ영혼은 짱깨인갑짘ㅋㅋㅋㅋㅋ아따 한남의 트랜스국적을 무시하다니 씌익쒸익,['Racism'],['Racism']
그래서 님은 존못땅딸보 빨면서 좋은가봄?,['CENSURE'],[]
대전 빵집은 성심당이 제일 유명해.,['IMMORAL_NONE'],['Origin']
니애비애미도 분탕홍 좆족개새키,"['Racism', 'Origin']",['Origin']
ㅋㅋ쩄든 여돌이랑 원나잇 노콘으로 질쌰 갈기고 싶다,['SEXUAL'],[]
"출근 길에 재수없게 대구경북쪽 억양쓰는 새끼가 폰에다 대고 계속 떠들길래 내린 후 한마디 했다. 야 이 ㅆ, ㅅ 끼야 마스크 좀 처하고 공중도덕 좀 지켜 ! 담ㅈ에 마주치면 밟아 버린다고 했더니 찍소리 못하고 가버리더라.",['Origin'],[]
국내에서 이슬람은 안전하고 선한 사람들이다 라고 선동하는 놈들은 걔들 수가 적으니까 숨죽이고 있는 이슬람들을 보고 있는거지할랄단지 들어오거나 하면 진짜 확 불질러버려야 함,"['Racism', 'Religion']","['Racism', 'Religion']"
급식충새끼들보다 저양놈새끼가 우리나라 더 잘알거다,"['Racism', 'Age']",['Age']
저 아이돌 도끼자국 좀 봐,['SEXUAL'],['Appearance']
"병신 같은 놈이 눈깔만 사팔인 줄 알았는데, 뇌에도 우동사리만 든 중증장애네.",['Disabled'],['profanity']
우리 팀장님은 너무 라떼 거려서 오늘은 라떼 한 잔 사드렸어,['IMMORAL_NONE'],[]
레알 개슬람은 모두 쳐죽여야한다. 개인적으로 짱깨랑 영혼의 다이 함 까봤음 좋겠다. 둘 다 병신력 ㅆㅅㅌㅊ에 과거 영광에 기대서 자뻑 심한 새끼들인데,['Religion'],"['Racism', 'Religion']"
이슬람놈들은 이슬람교가 지들한테 제일 좆같은 문제인거 알고나 있나?,"['Racism', 'Religion']",['Religion']
쪽바리나 조센징이나 다 예전에나 글치 요새들어 누가그런말하냨ㅋㅋ,['IMMORAL_NONE'],[]
엄지손가락 씨발ㅋㅋㅋ 무슨 두성창법이냐 경례 손 위치는 또 와 저렇노,['profanity'],['Origin']
젠더들이 혐오스러운건 항문성교하기 때문이고 게이도 이와같기 때문에 혐오스럽다,['Gender'],['Gender']
"프랑스는 무슬림 내쫒지 않는이상 미래는 없다. 안그래도 흑인들이 너무 많았는데 , 거기다 무슬림 남민들까지 판치는중.","['Racism', 'Religion']","['Racism', 'Religion']"
왜케 못생긴여자랑? 김민준 전여친 결혼하더니 충격먹었나..외모는 안보기로~,['Appearance'],['Appearance']
똥꼬충 반대 - 개슬람 반대 - 종북 반대역시 한국을 지키는 현대판 십자군들 필요악이다ㅋㅋㅋㅋㅋㅋㅋ,"['Gender', 'Religion']","['Gender', 'Racism', 'Religion']"
그런데 몰골이 왜 그모양이야?,['CENSURE'],[]
정의당 부끄럽다 남성동성간 에이즈 간염이 99프로 그치료비를 국민세금으로 내는데 그건 무슨생각인지 지들은 피같은세금이라고 하면서,['Gender'],['Gender']
니 앂이 먼줄아나?,['SEXUAL'],[]
일본은 역사왜곡을 하여 잘못된 역사를 아는 사람들이 많고 한국을 싫어하는 사람이 많지만 몇몇 사람들은 한국을 좋아하고 잘못된 역사왜곡을 고치려는 사람들이 있다.,['IMMORAL_NONE'],['Racism']
난 만나는 련들마다 헐렁해.,['SEXUAL'],[]
일본 여행에서 먹은 초밥이 맛있었어.,['IMMORAL_NONE'],[]
정말 예뻐진건 사실이네요. 여신 여주인공 다 가능한 미모로 다시 태어났네요. OOO스럽지도 않고 정말 성공한 성형인데 더이상은 손대지 말고 잘 유지 하셨으면 좋겠어요,['Appearance'],['Appearance']
뭐냐 천막농성한다고 해놓고 오뎅에 술처먹는 틀딱시키들,['Age'],['Age']
빛고을 팡주가 똥꼬충새끼들의 성지가 되길 기원합니다,"['Gender', 'Origin']",['Gender']
똥꼬충새끼들 진짜 너무 싫다 홍석천 좋다고 매느님 거리는 새끼들 이해가 안감ㅋㅋㅋㅋ,['Gender'],['Gender']
남자친구 죽여버리고 싶다.,['VIOLENCE'],['Gender']
우리나라에서 인구대비 가장문제일으키는 외노자새끼들이파키스탄/방글라데시 새끼들인거만봐도 답이나옴 ㅅㅂ안그래도 인종적으로 열등한대 개슬람까지 융합되서 답이없어짐,['Religion'],"['Racism', 'Religion']"
게이조차 똥송하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['Gender', 'Racism']",[]
다 자기 하기 나름이지 그런 거 쫌 따지지 말고 복세편살하자 좀,['IMMORAL_NONE'],['Appearance']
으 씨팔 역겨운 호모새끼,['Gender'],[]
앞에 있다면 침이라도 뱉어주고 싶어.,['VIOLENCE'],[]
그래도 남자는 키작은거 보단 차라리 못생긴게 낫다얼굴은 여자가 중요한거지 남자는 신체가 더 중요함,"['Gender', 'Appearance']",['Appearance']
3번아닌가요? 못생기면 게이하면 안되는데... 뭐 현실에선 못생긴 냄져들이나 게이하겠지만,"['Gender', 'Appearance']","['Appearance', 'Gender']"
서브 오기 전에 쌀 자신 있는데.,['SEXUAL'],[]
닉부터 개독냄새 풀풀나네 씨발 틀니나 딲고 쳐자 개독틀딱충 새끼야 ㅉㅉ,"['Age', 'Religion']",['Age']
아니 무슨 벙어리도 아니고 입 닫고 가만히 있을거면 왜 나왔니?,['Disabled'],[]
인천=파키스탄 외노자ㅇㄱㄹㅇ,"['Racism', 'Origin']",[]
좆족범죄자새끼한테 본때를 보인 한국인이 감옥에서 고생ㅋㅋ단언컨데 문재앙은 조선족이다 농담아님모든 정책과 행보가 증명함,['Racism'],['Racism']
"모든 난민과 무슬림, 어쩔수 없이 받아야하는 좆족들 동남아들은 모조리 싹 전라도로 골고루 분산배치 하는게 좋을듯.","['Racism', 'Origin', 'Religion']","['Origin', 'Racism']"
착한홍어는 죽은홍어일뿐,['Origin'],['Origin']
한번만 대줬으면 소원이 없겠다,['SEXUAL'],[]
가서 당연히 할거지?ㅋㅋ,['SEXUAL'],[]
신천지나 동성애자나... 그게 그거지..,"['Gender', 'Religion']",['Gender']
진짜 현빈이 아깝다 성형녀는 아니죠,['Appearance'],['Appearance']
옛날 친구중에 대학 일학년때 남자친구가 나올때마다 만원만 갖고나온다고 헤어진얘가 있다ㆍ그때돈 만원이면 대학생치고 작은돈 아니고 지도 만원갖고 나가면 될걸 지는 화장품사고 옷사고 다른애들만나 쓸돈은 있으면서 남친한테 한심해서 못만나겠단다 결국 결혼할때도 조건봐서 결혼하고 그렇게 돈ㆍ성공에 취해살더라,['Appearance'],['IMMORAL_NONE']
